date;EURUSD;AUDUSD;EURCHF;EURGBP;EURJPY;NZDUSD;USDCAD
39049;-22.81369;-107.4856;-60.841962;30.181087;54.54902;0;-24.40966
39050;47.8687;-96.22973;-43.748271;52.466208;-31.21004;0;133.90739
39051;-20.91194;-133.786044;69.542431;25.788475;48.49433;0;70.40897
39052;67.96556;-17.81945;-81.457178;8.02139;-31.20229;0;84.27925
39055;16.46159;135.96658;-6.029696;-23.158457;-31.20191;0;-31.47624
39056;-12.38785;41.16795;69.51178;-40.887677;-31.2078;0;-8.4063
39057;-13.98181;-86.35885;-34.343511;-9.764469;-31.20988;0;171.98118
39058;49.62033;10.642072;-0.377663;-18.613721;-31.20849;0;56.8943
39059;115.00116;-68.25076;-30.550282;-40.706764;130.24828;0;-25.35395
39062;119.46602;6.88161;-39.94172;21.29233;150.75572;0;2.08986
39063;-22.65006;6.865687;-62.495294;52.497331;82.82268;0;131.02939
39064;-3.16422;94.642039;1.505816;25.853615;-31.19149;0;149.84445
39065;109.87511;137.108717;-60.487658;12.499628;-31.19007;0;40.93618
39066;-200.03059;-39.13544;-9.758417;12.523855;-31.19201;0;56.50108
39069;-60.12392;87.656346;-39.734603;-103.552937;-31.1966;0;-85.47453
39070;-177.711117;-96.389229;-13.47793;43.820426;-31.12947;0;-51.21983
39071;-21.55906;-88.569902;-5.982352;12.525722;-31.1848;0;-123.28052
39072;-22.70319;12.5927;35.190177;-32.146684;-31.18369;0;194.18484
39073;-6.13232;83.352451;18.355268;30.365276;-31.18369;0;72.08297
39077;-82.91975;171.928568;-5.990191;-63.419282;-15.76317;0;45.99879
39078;-10.25641;22.159395;-99.209309;-0.893895;-31.18457;0;7.23265
39079;81.57375;-137.430083;66.840094;3.576112;122.26126;0;-34.12616
39080;-11.83683;113.23336;-11.561987;-67.834935;-31.18082;0;140.9465
39084;-14.01531;-100.53089;-28.305049;-0.890446;107.90274;0;14.94974
39085;96.99204;218.933865;8.923481;-111.831011;-31.1725;0;183.67869
39086;-179.12499;-146.06169;8.923481;52.497331;-31.17686;0;121.7731
39087;-233.46663;-181.67821;35.076372;16.910936;-31.19149;0;-57.98459
39090;52.5023;49.21815;-45.087007;16.933543;120.03108;0;42.86443
39091;35.91877;64.522737;-24.525895;-27.74049;-31.12969;0;17.34989
39092;-134.96174;118.854673;3.34838;-32.213804;-31.19329;0;9.68893
39093;-3.93255;49.16018;74.109936;265.454764;-31.12663;0;-85.06277
39094;15.78703;-31.46504;-2.232669;-42.56732;-31.18865;0;-218.62972
39097;-0.92661;48.947127;-54.217315;-64.67284;18.87035;0;-44.21215
39098;-23.35422;14.549724;42.418079;3.641219;-31.18576;0;211.0271
39099;48.20022;-111.320083;-15.239558;40.187542;-31.18628;0;-46.52352
39100;102.17509;-46.34554;-35.61007;-19.183338;-31.11493;0;-9.97247
39101;118.27458;-40.62931;18.171479;44.788398;-31.17541;0;-68.41768
39104;62.11276;82.982287;25.58841;86.077959;3.42857;0;227.74537
39105;-120.256178;-133.229038;19.10982;-14.653804;117.1638;0;-24.63492
39106;50.32627;-27.62502;-24.463774;-50.869012;-31.17541;0;-71.82274
39107;3.0033;-248.96587;55.362208;26.406848;-31.18162;0;16.82415
39108;-44.5993;-39.56044;-42.99428;-55.545438;-31.17715;0;-77.25671
39111;-7.4262;76.990875;-57.638307;-55.394116;-31.17461;0;60.37034
39112;-20.12383;18.63547;31.049396;-59.934617;-31.1707;0;-81.8436
39113;121.77122;-91.8759;68.109469;-100.313291;-31.17708;0;9.65856
39114;-0.46068;37.978608;10.744588;62.573683;-31.17715;0;-38.02217
39115;-150.99583;111.48387;25.591573;12.690355;-31.17686;0;-114.380188
39118;-53.81582;-58.738664;21.921948;85.31236;-31.18376;0;-84.20697
39119;80.51828;-91.37995;62.984496;30.987969;-31.18851;0;-15.72141
39120;-18.47006;-23.879217;-83.930627;-19.110599;154.15925;0;62.77951
